
################################################################################
 # NEB data extractor for CASTEP v22.11 onwards
################################################################################
 #
 # Reaction coordinates           Energy (eV)
################################################################################
  0.00000000000000000         0.000000000000000
  0.05168497900000000         0.003945652866456
  0.11374669799999999         0.025905251922941
  0.17797776400000001         0.085988021087871
  0.24924375800000001         0.220058584346474
  0.31358953800000000         0.396252393379543
  0.38076455199999998         0.655468180999922
  0.44311359700000003         0.912507056694114
  0.50019468099999997         1.019257375278179
  0.56677502700000004         0.876125416126155
  0.63859133899999998         0.585371616973913
  0.71335142399999996         0.328060627288850
  0.79244088400000001         0.133771237869496
  0.86790866600000005         0.037769421920545
  0.93986371300000005         0.005687182407715
  1.00000000000000000         0.000571439380750
